id,profession,partnership-no,practice-code,name,address-1,address-2,council,county,health-trust-area,postcode,tel,lat,long
pharm-53,Pharmacy,0684,,CLEAR PHARMACY,Units 1 & 2,44 New Harbour Road Portavogie,North Down and Ards,Down,South East Trust,BT22 1EA,028 4277 1395,53.135025,-2.5105081
pharm-54,Pharmacy,0691,,MURPHY LTD,16 Cardinal O'Fiach Square,Crossmaglen,"Newry, Mourne and Down",Armagh,,BT35 9AG,028 3086 1333,52.720744,-3.6165174
pharm-55,Pharmacy,0701,,BOOTS UK LTD,77 Cregagh Road,Belfast,Belfast,Down,Belfast Trust,BT6 8PY,028 9045 7606,53.246843,-2.9623136
pharm-56,Pharmacy,0787,,CROSSIN,267 Antrim Road,Belfast,Belfast,Antrim,Belfast Trust,BT15 2GZ,028 9035 1084,53.278669,-3.0021727
pharm-57,Pharmacy,0804,,GORDON LTD,3A - 3B Strand Road,,Derry and Strabane,Derry,Western Trust,BT48 7BH,028 7126 4502,53.625833,-4.3687432
pharm-58,Pharmacy,0859,,DOBSON,101 Enfield Street,Belfast,Belfast,Antrim,Belfast Trust,BT13 3DJ,028 9035 1377,53.26986,-3.0253284
pharm-59,Pharmacy,0866,,DUNDELA PHARMACY LTD,17 Belmont Road,Belfast,Belfast,Down,Belfast Trust,BT4 2AA,028 9065 7853,53.263994,-2.942024
pharm-60,Pharmacy,0880,,DUNLUCE PHARMACY LTD,The Health Centre,1 Dunluce Avenue Belfast,Belfast,Antrim,Belfast Trust,BT9 7HR,028 9024 7726,53.247118,-3.0041777
pharm-61,Pharmacy,0914,,FEGAN'S PHARMACY,136A Andersonstown Road,Belfast,Belfast,Antrim,Belfast Trust,BT11 9BY,028 9061 3492,53.234199,-3.0482077
pharm-62,Pharmacy,0945,,CRILLY,11 Springfield Road,Belfast,Belfast,Antrim,Belfast Trust,BT12 7AB,028 9032 4144,53.257927,-3.018477
pharm-63,Pharmacy,0976,,FORMULA HEALTH LTD,59 High Street,Belfast,Belfast,Antrim,Belfast Trust,BT1 2AB,028 9023 1002,53.262354,-2.9903072
pharm-64,Pharmacy,0990,,HILDEN PHARMACY LTD,56 - 58 Grand Street,Lisburn,Lisburn and Castlereagh,Antrim,,BT27 4UD,028 9260 3673,53.176146,-3.0823416
pharm-65,Pharmacy,1001,,GORDON LTD,37 Market Street,Downpatrick,"Newry, Mourne and Down",Down,,BT30 6LP,028 4461 2014,52.995614,-2.7676297
pharm-66,Pharmacy,1025,,BOOTS UK LTD,493 Oldpark Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 6QU,028 9035 1082,53.283512,-3.0193705
pharm-67,Pharmacy,1032,,MCKEEVER LTD,13 Main Street,Castlewellan,"Newry, Mourne and Down",Down,,BT31 9DF,028 4377 8261,52.920482,-2.9800773
pharm-68,Pharmacy,1049,,GRAHAM,82 York Road,Belfast,Belfast,Antrim,Belfast Trust,BT15 3HF,028 9035 1088,53.27991,-2.9891683
pharm-69,Pharmacy,1056,,GORDON LTD,10 Market Street,Lurgan,"Armagh, Banbridge and Craigavon",Armagh,Southern Trust,BT66 6AQ,028 3832 2814,53.114968,-3.3730512
pharm-70,Pharmacy,1070,,BOOTS UK LTD,257 Woodstock Road,Belfast,Belfast,Down,Belfast Trust,BT6 8PQ,028 9045 7611,53.254586,-2.9674639
pharm-71,Pharmacy,1128,,BOOTS UK LTD,44 Holywood Road,Belfast,Belfast,Down,Belfast Trust,BT4 1NT,028 9047 1871,53.261997,-2.951305
pharm-72,Pharmacy,1135,,BOOTS UK LTD,72 Holywood Road,Belfast,Belfast,Down,Belfast Trust,BT4 1NT,028 9047 1191,53.261997,-2.951305
pharm-73,Pharmacy,1159,,GORDON LTD,16 Railway Street,Newcastle,"Newry, Mourne and Down",Down,,BT33 0AL,028 4372 2724,52.878428,-2.9252193
pharm-74,Pharmacy,1166,,FULLARTON PHARMACY LTD,Unit 6    St George'S Market,Oxford Street Belfast,Belfast,Antrim,Belfast Trust,BT1 3NQ,028 9023 3101,53.258765,-2.9851274
pharm-75,Pharmacy,1173,,O'HARE,5-7 Downpatrick Road,Strangford Co Down,"Newry, Mourne and Down",Down,,BT30 7LZ,028 4488 1138,53.039791,-2.6174658
pharm-76,Pharmacy,1180,,BOOTS UK LTD,46 High Street,Holywood,North Down and Ards,Down,South East Trust,BT18 9AE,028 9042 3100,53.305643,-2.9046425
pharm-77,Pharmacy,1238,,MCGREGOR CHEMIST LTD,98 Botanic Avenue,Belfast,Belfast,Antrim,Belfast Trust,BT7 1JR,028 9032 5509,53.249559,-2.9949276
pharm-78,Pharmacy,1245,,GORDON LTD,16 Main Street,Rathfriland,"Armagh, Banbridge and Craigavon",Down,Southern Trust,BT34 5PS,028 4063 0212,52.894953,-3.1903323
pharm-79,Pharmacy,1252,,BOOTS UK LTD,71 Saintfield Road,Belfast,Lisburn and Castlereagh,Down,,BT8 7HN,028 9040 1880,53.220039,-2.9699051
pharm-80,Pharmacy,1269,,HAMILTON (CHEMISTS) LTD,907 Crumlin Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 8AB,028 9039 1520,53.28419,-3.0397113
pharm-81,Pharmacy,1283,,HARTE,567 Antrim Road,Belfast,Belfast,Antrim,Belfast Trust,BT15 3BU,028 9077 6694,53.287518,-3.0027399
pharm-82,Pharmacy,1290,,HARTE,175 Kingsway,Dunmurry Belfast,Belfast,Antrim,Belfast Trust,BT17 9RY,028 9030 1638,53.211697,-3.0615845
pharm-83,Pharmacy,1348,,HOGGS PHARMACIES LTD,262 Shankill Road,Belfast,Belfast,Antrim,Belfast Trust,BT13 2BL,028 9032 4131,53.265942,-3.0157738
pharm-84,Pharmacy,1379,,COWZERS PHARMACIES LTD,441 Ormeau Road,Belfast,Belfast,Down,Belfast Trust,BT7 3GQ,028 9049 1194,53.238421,-2.9798953
pharm-85,Pharmacy,1386,,GORDON LTD,2 Dromore Street,Rathfriland,"Armagh, Banbridge and Craigavon",Down,Southern Trust,BT34 5LU,028 4063 0277,52.895783,-3.1918416
pharm-86,Pharmacy,1427,,LOWERY HEALTHCARE LTD,78 Ravenswood Park,Belfast,Belfast,Down,Belfast Trust,BT5 7PT,028 9040 1837,53.241945,-2.9200513
pharm-87,Pharmacy,1489,,LINDEN LTD,88 Serpentine Road,Whitewell Newtownabbey,Belfast,Antrim,Belfast Trust,BT36 7JG,028 9077 8221,53.312005,-2.99734
pharm-88,Pharmacy,1496,,LINDEN LTD,79 Duncairn Gardens,Belfast,Belfast,Antrim,Belfast Trust,BT15 2GB,028 9035 1194,53.274539,-2.9929883
pharm-89,Pharmacy,1513,,BOOTS UK LTD,45 Main Street,Moira,Lisburn and Castlereagh,Down,,BT67 0LQ,028 9261 1245,53.135623,-3.2722253
pharm-90,Pharmacy,1520,,BOOTS UK LTD,2 The Enler Complex,"Ballybeen, Dundonald Belfast",Lisburn and Castlereagh,Down,,BT16 2QP,028 9048 3750,55.819497,2.2556304
pharm-91,Pharmacy,1537,,BOOTS UK LTD,86 Groomsport Road,Bangor,North Down and Ards,Down,South East Trust,BT20 5NF,028 9145 4030,53.332944,-2.7210418
pharm-92,Pharmacy,1719,,CASTLE PHARMACY LTD,81 Castlereagh Road,Belfast,Belfast,Down,Belfast Trust,BT5 5FD,028 9045 7838,53.253884,-2.962022
pharm-93,Pharmacy,1726,,GORDON LTD,59 Main Street,Saintfield,"Newry, Mourne and Down",Down,,BT24 7AB,028 9751 1333,53.124977,-2.8905765
pharm-94,Pharmacy,1733,,BOOTS UK LTD,138-144 Sandy Row,Belfast,Belfast,Antrim,Belfast Trust,BT12 5EY,028 9032 9168,53.252159,-2.9990498
pharm-95,Pharmacy,1740,,MAGEE LTD,Units 1&2 Blackstaff Stop,111/129 Springfield Road Belfast,Belfast,Antrim,Belfast Trust,BT12 7AD,028 9032 0796,53.258501,-3.0197349
pharm-96,Pharmacy,1757,,CLEAR PHARMACY,"Unit 2, Green Road  Development","5 Green Road Conlig, Bangor",North Down and Ards,Down,South East Trust,BT23 7PZ,028 9147 0225,53.301505,-2.7394788
pharm-97,Pharmacy,1771,,MCCOUBREY (S J MCKAY) LTD,154 Cavehill Road,Belfast,Belfast,Antrim,Belfast Trust,BT15 5EX,028 9039 1169,53.293922,-3.012912
pharm-98,Pharmacy,1805,,BOOTS UK LTD,Unit 3 Rathmore Shopping Centre,12 Rathmore Road Bangor,North Down and Ards,Down,South East Trust,BT19 1DL,028 9127 0507,53.326487,-2.7786477
pharm-99,Pharmacy,1812,,MCDONAGH,233/235 Falls Road,Belfast,Belfast,Antrim,Belfast Trust,BT12 6FB,028 9032 5046,53.253863,-3.0238815
pharm-100,Pharmacy,1829,,BOOTS UK LTD,136A High Street,Holywood,North Down and Ards,Down,South East Trust,BT18 9HW,028 9042 3193,53.304188,-2.9067727
pharm-101,Pharmacy,1836,,MCDOWELL LTD,335 Donegall Road,Belfast,Belfast,Antrim,Belfast Trust,BT12 6FQ,028 9032 3567,53.250869,-3.0122991
pharm-102,Pharmacy,1843,,MCDOWELL LTD,209 - 211 Newtownards Road,Belfast,Belfast,Down,Belfast Trust,BT4 1AD,028 9045 7336,53.262145,-2.9653258
pharm-103,Pharmacy,1850,,MCELHINNEY,Unit 60,Dublin Road Belfast,Belfast,Antrim,Belfast Trust,BT2 7HN,028 9024 6336,53.254125,-2.9950785
pharm-104,Pharmacy,1874,,WOODBOURNE PHARMACY LTD,Unit 4,128 Stewartstown Road Belfast,Belfast,Antrim,Belfast Trust,BT11 9JQ,028 9061 2898,53.228131,-3.0683876
pharm-105,Pharmacy,1881,,GORDON LTD,170/174 Sandy Row,Belfast,Belfast,Antrim,Belfast Trust,BT12 5EY,028 9032 4058,53.252159,-2.9990498
pharm-106,Pharmacy,1898,,LOCKVIEW LTD,3 Lockview Road,Belfast,Belfast,Antrim,Belfast Trust,BT9 5FH,028 9066 0555,53.235338,-2.9928148
pharm-107,Pharmacy,1922,,MCGREGOR (CHEMIST) LTD,30 Botanic Avenue,Belfast,Belfast,Antrim,Belfast Trust,BT7 1JQ,028 9032 7122,53.251107,-2.9958028
pharm-108,Pharmacy,1960,,GORDON LTD,11 Church Street,Warrenpoint,"Newry, Mourne and Down",Down,,BT34 3HN,028 4175 3647,52.754686,-3.2706078
pharm-109,Pharmacy,1984,,BOOTS UK LTD,336/340 Beersbridge Road,Belfast,Belfast,Down,Belfast Trust,BT5 5DY,028 9045 7394,53.256763,-2.9526879
pharm-110,Pharmacy,2002,,GORDON LTD,The  Square,Warrenpoint,"Newry, Mourne and Down",Down,,BT34 3LY,028 4175 2271,52.754773,-3.2717512
pharm-111,Pharmacy,2019,,FULLARTON PHARMACY LTD,209 Shankill Road,Belfast,Belfast,Antrim,Belfast Trust,BT13 1FQ,028 9032 1368,53.266072,-3.0130781
pharm-112,Pharmacy,2026,,GORDON LTD,5 Main Street,Saintfield,"Newry, Mourne and Down",Down,,BT24 7AA,028 9751 0277,53.125202,-2.8881602
pharm-113,Pharmacy,2057,,B & D ASSOCIATES,91/93 Glen Road,Belfast,Belfast,Antrim,Belfast Trust,BT11 8BD,028 9061 1643,53.244022,-3.0464098
pharm-114,Pharmacy,2088,,MCKAY (NEWTOWNARDS) LTD,19A Westminster Avenue,Belfast,Belfast,Down,Belfast Trust,BT4 1QQ,028 9065 9900,53.261923,-2.9526526
pharm-115,Pharmacy,2112,,MCMULLAN LTD,165 Lisburn Road,Belfast,Belfast,Antrim,Belfast Trust,BT9 7AJ,028 9038 1882,53.245104,-3.0073825
pharm-116,Pharmacy,2129,,MCGREGOR CHEMIST LTD,454 Shore Road,Belfast,Belfast,Antrim,Belfast Trust,BT15 4HD,028 9037 0048,53.296266,-2.9896963
pharm-117,Pharmacy,2143,,WATTERS,88 Upper Lisburn Road,Finaghy Belfast,Belfast,Antrim,Belfast Trust,BT10 0BA,028 9061 1079,53.22457,-3.0391499
pharm-118,Pharmacy,2150,,MCKEEVER LTD,16 Bridge Street,Rostrevor,"Newry, Mourne and Down",Down,,BT34 3BG,028 4173 8309,52.756424,-3.21718
pharm-119,Pharmacy,2260,,DUNDEE LTD,967/969 Upper Newtownards Road,Dundonald Belfast,Lisburn and Castlereagh,Down,,BT16 1RL,028 9048 7668,53.260026,-2.8729475
pharm-120,Pharmacy,2277,,BOOTS UK LTD,Unit 2 Stonegate Centre,Stratheden Heights Movilla Road,North Down and Ards,,,BT23 3ZE,028 9182 2130,53.267017,-2.7361246
pharm-121,Pharmacy,2318,,BOOTS UK LTD,404-408 Newtownards Road,Belfast,Belfast,Down,Belfast Trust,BT4 1HH,028 9045 7623,53.261498,-2.9563911
pharm-122,Pharmacy,2325,,BOOTS UK LTD,5 - 13 Hillsborough Road,Dromara Dromore,Lisburn and Castlereagh,Down,,BT25 2BL,028 9753 2258,53.041642,-3.0628152
pharm-123,Pharmacy,2332,,CLEAR PHARMACY,71 Shankill Road,Belfast,Belfast,Antrim,Belfast Trust,BT13 1DY,028 9032 3303,53.266657,-3.0055802
pharm-124,Pharmacy,2349,,BOOTS UK LTD,104/108 Frances Street,Newtownards,North Down and Ards,Down,South East Trust,BT23 7DY,02891823700,53.261893,-2.7605029
pharm-125,Pharmacy,2356,,MAGIR LTD,3 Carrick Hill,Belfast,Belfast,Antrim,Belfast Trust,BT1 2JH,028 9023 8470,53.266597,-2.9978271
pharm-126,Pharmacy,2370,,MAGIR LTD,126 Ormeau Road,Belfast,Belfast,Antrim,Belfast Trust,BT7 1SL,028 9023 0170,53.248302,-2.9861759
pharm-127,Pharmacy,2442,,GORDON LTD,23 New Street,Donaghadee,North Down and Ards,Down,South East Trust,BT21 0AG,028 9188 2546,53.314339,-2.6148181
pharm-128,Pharmacy,2466,,LARNE CHEMISTS LTD,Retail Centre,University Of Ulster Jordanstown,Antrim and Newtownabbey,Antrim,Northern Trust,BT37 0QB,028 9085 4180,53.348907,-2.9542458
pharm-129,Pharmacy,2538,,MAGIR LTD,483 Ormeau Road,Belfast,Belfast,Down,Belfast Trust,BT7 3GR,028 9049 1512,53.236823,-2.9784653
pharm-130,Pharmacy,2552,,NEESON,170 Cliftonville Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 6LB,028 9074 4049,53.280293,-3.0131745
pharm-131,Pharmacy,2576,,ORIEL PHARMACY LTD,363 Ormeau Road,Belfast,Belfast,Down,Belfast Trust,BT7 3GP,028 9049 1325,53.240092,-2.9810273
pharm-132,Pharmacy,2624,,MCKENZIE RICE LTD,479 Falls Road,,Belfast,Antrim,Belfast Trust,BT12 6DE,028 9032 2152,53.25052,-3.0310858
pharm-133,Pharmacy,2655,,CLEAR PHARMACY,2 Mount Merrion Avenue,Belfast,Belfast,Down,Belfast Trust,BT6 0FR,028 9049 1271,53.235547,-2.9674689
pharm-134,Pharmacy,2662,,GALAR IRELAND LTD,166 Andersonstown Road,Belfast,Belfast,Antrim,Belfast Trust,BT11 9BZ,028 9061 2509,53.233812,-3.0502808
pharm-135,Pharmacy,2686,,ROBINSON LTD,86 Cliftonville Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 6JZ,028 9035 1306,53.277683,-3.0071138
pharm-136,Pharmacy,2693,,BOOTS UK LTD,Sprucefield Shopping Centre,Lisburn,Lisburn and Castlereagh,Down,,BT27 5JU,028 9262 7958,53.165883,-2.9879197
pharm-137,Pharmacy,2703,,MCKENZIE RICE LTD,13 Ardoyne Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 7HX,028 9039 1460,53.277085,-3.0297156
pharm-138,Pharmacy,2710,,MCKENZIE RICE LTD,1 Ardoyne Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 7HX,028 9071 4481,53.277085,-3.0297156
pharm-139,Pharmacy,2734,,BOOTS UK LTD,3 Market Lane,Lisburn,Lisburn and Castlereagh,Antrim,,BT28 1YG,028 9260 2666,53.170149,-3.0962829
pharm-140,Pharmacy,2758,,BOOTS UK LTD,99 Knockmore Road,Ballymacoss Lisburn,Lisburn and Castlereagh,Antrim,,BT28 2EA,028 9260 3480,53.176546,-3.1312633
pharm-141,Pharmacy,2765,,GALAR IRELAND LTD,180 Lenadoon Avenue,Shaw'S Road Belfast,Belfast,Antrim,Belfast Trust,BT11 9HF,028 9061 6586,53.235659,-3.0710472
pharm-142,Pharmacy,2772,,GRACEY,Unit 8 Ballee And Harryville,"Community Enterprise 20 Antrim Road, Ballee",Mid and East Antrim,Antrim,Northern Trust,BT42 2BJ,028 2563 1138,53.507534,-3.3463992
pharm-143,Pharmacy,2789,,DUNDEE LTD,Grove Wellbeing Centre,York Road Belfast,Belfast,Antrim,Belfast Trust,BT15 3HF,028 9077 4725,53.27991,-2.9891683
pharm-144,Pharmacy,2806,,BOOTS UK LTD,21A Sloan Street,Lisburn,Lisburn and Castlereagh,Antrim,,BT27 5AG,028 9266 4054,53.169057,-3.08888
pharm-145,Pharmacy,2813,,BOOTS UK LTD,"Unit 4, Asda Shopping Centre",1 Ring Road Coleraine,Causeway Coast and Glens,Derry,Northern Trust,BT52 1QY,028 7032 1596,53.782549,-3.7451559
pharm-146,Pharmacy,2837,,BOOTS UK LTD,83 The Promenade,Portstewart,Causeway Coast and Glens,Derry,Northern Trust,BT55 7AG,028 7083 2646,53.825215,-3.7990897
pharm-147,Pharmacy,2844,,COLLINWARD PHARMACY LTD,195 Antrim Road,Belfast,Belfast,Antrim,Belfast Trust,BT15 2GW,028 9075 7576,53.276157,-3.0004943
pharm-148,Pharmacy,2851,,WYNROSE LTD,52A Rosetta Road,Belfast,Belfast,Down,Belfast Trust,BT6 0LT,028 9049 1157,53.234703,-2.9661914
pharm-149,Pharmacy,3003,,SURE MEDICINE LTD,"Unit 5, Antrim Road Plaza",471-473 Antrim Road Belfast,Belfast,Antrim,Belfast Trust,BT15 3BP,028 9037 0922,53.285674,-3.0028467
pharm-150,Pharmacy,3058,,SURE MEDICINE LTD,61 Mount Eagles Square,Lagmore Dunmurry,Belfast,Antrim,Belfast Trust,BT17 0GZ,028 9060 1500,53.213015,-3.1025137
pharm-151,Pharmacy,3072,,AUSTIN,344 Cregagh Road,Belfast,Belfast,Down,Belfast Trust,BT6 9EY,028 9040 1158,53.234718,-2.9564831
